test_accuracy,test_score,test_average_loss,test_average_time
0.55,0.5449999999999999,0.017314837872982027,0.00017431378364562988
0.45,0.375,0.01757913827896118,0.0001400172710418701
0.525,0.5175000000000001,0.017273318767547608,0.00013420581817626953
0.6,0.6150000000000001,0.017091456055641174,0.00017108917236328126
0.375,0.35250000000000004,0.01754816323518753,0.00015636086463928224
0.45,0.415,0.017445647716522218,0.00016608238220214844
0.475,0.41750000000000004,0.01746194511651993,0.0001492738723754883
0.525,0.485,0.017363014817237853,0.00013481378555297853
0.35,0.3425,0.018762567639350893,0.00013973116874694825
0.575,0.55,0.01727728545665741,0.00018816590309143067
0.45,0.4975,0.017931297421455383,4.252791404724121e-05
0.5,0.615,0.017116859555244446,3.701448440551758e-05
0.5,0.4675,0.018033213913440704,6.830692291259766e-05
0.45,0.55,0.017396624386310577,4.256367683410645e-05
0.575,0.615,0.01702340841293335,4.4852495193481445e-05
0.55,0.5025,0.01793057471513748,0.00011140704154968261
0.55,0.7224999999999999,0.01624867022037506,0.00011640787124633789
0.575,0.5725,0.01719723492860794,3.616809844970703e-05
0.475,0.5875,0.017394137382507325,7.863640785217285e-05
0.4,0.49,0.017907828092575073,3.804564476013183e-05
0.5,0.5125,0.01779419630765915,5.505084991455078e-05
0.55,0.4825,0.021580174565315247,0.00011801719665527344
0.5,0.4975,0.017380064725875853,5.289912223815918e-05
0.575,0.4225,0.01757289618253708,5.424022674560547e-05
0.425,0.5225,0.017311322689056396,5.829334259033203e-05
0.425,0.465,0.017481061816215514,8.963346481323242e-05
0.575,0.6025,0.018095120787620544,5.384087562561035e-05
0.55,0.5425,0.017352740466594695,0.0001367628574371338
0.5,0.3575,0.017528991401195525,0.0001035153865814209
0.6,0.495,0.01738586127758026,8.091330528259277e-05
0.375,0.4,0.018325658142566682,0.00014631748199462892
0.375,0.3375,0.01888461709022522,0.00016871094703674316
0.45,0.3475,0.01886121481657028,0.00018106698989868165
0.375,0.36,0.01807088702917099,0.0001600325107574463
0.45,0.48,0.017490977048873903,0.00011617541313171386
0.575,0.495,0.017418447136878967,0.000135880708694458
0.5,0.5225,0.01736493855714798,0.0001460433006286621
0.5,0.5875,0.017334809899330138,0.00013211369514465332
0.475,0.4725,0.018479278683662413,0.00015056729316711425
0.4,0.38,0.01842319965362549,0.0001338958740234375
0.45,0.47500000000000003,0.023074786365032195,8.665323257446289e-05
0.525,0.675,0.016735467314720153,0.00013512969017028808
0.6,0.52,0.017317640781402587,0.00020869970321655274
0.5,0.5175000000000001,0.01733097732067108,0.00012040138244628906
0.5,0.5125,0.01732778251171112,0.00010797381401062012
0.525,0.5375,0.01778320223093033,9.01341438293457e-05
0.5,0.4325,0.01733970791101456,0.00015702247619628907
0.5,0.3525,0.017388409376144408,0.00011511445045471191
0.5,0.505,0.01988023966550827,9.053945541381836e-05
0.5,0.6124999999999999,0.017321650683879853,0.00014994740486145018
